Label1,,Label2,,Label3,,Label4,,,,Combined(2+3+4),,Label1,,FINAL,
Outcome,Score,Outcome,Score,Outcome,Score,Outcome,Score,,,Outcome,Score,Outcome,Score,Final Outcome,Final Score
Not a bully,0.1,Not a victim,1,Possible Victim,0.642857143,Not a victim,1,,,Not a victim,0.880952381,Not a bully,0.1,Not a bully,
Not a bully,0.28,Not a victim,0.775,Possible Victim,0.657142857,Possible Victim,0.666666667,,,Possible Victim,0.699603175,Not a bully,0.28,Not a bully,
Not a bully,0.22,Not a victim,0.75,Possible Victim,0.542857143,Not a victim,0.833333333,,,Possible Victim,0.708730159,Not a bully,0.22,Not a bully,
Not a bully,0.16,Possible Victim,0.575,Possible Victim,0.428571429,Possible Victim,0.566666667,,,Possible Victim,0.523412699,Not a bully,0.16,Not a bully,
Not a bully,0.18,Possible Victim,0.6,Possible Victim,0.642857143,Possible Victim,0.466666667,,,Possible Victim,0.56984127,Not a bully,0.18,Not a bully,
Not a bully,0.24,Not a victim,0.825,Not a victim,0.757142857,Not a victim,0.733333333,,,Not a victim,0.771825397,Not a bully,0.24,Not a bully,
Not a bully,0.16,Not a victim,0.8,Not a victim,0.7,Not a victim,0.833333333,,,Not a victim,0.777777778,Not a bully,0.16,Not a bully,
Not a bully,0.24,Not a victim,0.95,Possible Victim,0.671428571,Not a victim,0.733333333,,,Not a victim,0.784920635,Not a bully,0.24,Not a bully,
Not a bully,0.1,Possible Victim,0.5,Not a victim,0.857142857,Not a victim,0.866666667,,,Possible Victim,0.741269841,Not a bully,0.1,Not a bully,
Not a bully,0.14,Not a victim,0.9625,Not a victim,0.728571429,Possible Victim,0.633333333,,,Not a victim,0.774801587,Not a bully,0.14,Not a bully,
Possible Bully,1,Not a victim,0.8875,Possible Victim,0.6,Not a victim,0.733333333,,,Possible Victim,0.740277778,Possible Bully,1,Possible Bully,
Possible Bully,1,Not a victim,1,Possible Victim,0.485714286,Not a victim,1,,,Not a victim,0.828571429,Possible Bully,1,Not a bully,
Not a bully,0.4,Possible Victim,0.6625,Possible Victim,0.6,Not a victim,0.8,,,Possible Victim,0.6875,Not a bully,0.4,Not a bully,
Possible Bully,0.68,Not a victim,0.8125,Not a victim,0.885714286,Possible Victim,0.333333333,,,Possible Victim,0.67718254,Possible Bully,0.68,Possible Bully,
Not a bully,0.1,Possible Victim,0.6375,Not a victim,0.8,Not a victim,1,,,Not a victim,0.8125,Not a bully,0.1,Not a bully,
Not a bully,0.12,Possible Victim,0.65,Not a victim,0.757142857,Possible Victim,0.433333333,,,Possible Victim,0.613492063,Not a bully,0.12,Not a bully,
Possible Bully,0.62,Not a victim,0.85,Possible Victim,0.614285714,Not a victim,0.866666667,,,Not a victim,0.776984127,Possible Bully,0.62,Not a bully,
Not a bully,0.22,Possible Victim,0.675,Possible Victim,0.585714286,Not a victim,0.9,,,Possible Victim,0.720238095,Not a bully,0.22,Not a bully,
Not a bully,0.1,Possible Victim,0.5125,Possible Victim,0.442857143,Possible Victim,0.566666667,,,Possible Victim,0.50734127,Not a bully,0.1,Not a bully,
Not a bully,0.1,Possible Victim,0.5,Possible Victim,0.428571429,Possible Victim,0.666666667,,,Possible Victim,0.531746032,Not a bully,0.1,Not a bully,
Not a bully,0.28,Not a victim,0.9875,Not a victim,1,Not a victim,0.866666667,,,Not a victim,0.951388889,Not a bully,0.28,Not a bully,
Not a bully,0.1,Possible Victim,0.65,Not a victim,0.7,Possible Victim,0.666666667,,,Possible Victim,0.672222222,Not a bully,0.1,Not a bully,
Not a bully,0.28,Not a victim,0.725,Possible Victim,0.685714286,Possible Victim,0.633333333,,,Possible Victim,0.681349206,Not a bully,0.28,Not a bully,
Not a bully,0.12,Possible Victim,0.6,Possible Victim,0.685714286,Possible Victim,0.6,,,Possible Victim,0.628571429,Not a bully,0.12,Not a bully,
Not a bully,0.4,Not a victim,0.9,Not a victim,0.942857143,Not a victim,0.933333333,,,Not a victim,0.925396825,Not a bully,0.4,Not a bully,
Not a bully,0.18,Not a victim,0.7,Possible Victim,0.657142857,Not a victim,0.7,,,Possible Victim,0.685714286,Not a bully,0.18,Not a bully,
